uid,site_id,class_code,taxon_rank,utm_zone,nlcd_class,elevation,growth_form,plant_status,stem_diameter,tree_height,max_crown_diameter,ninety_crown_ciameter,canopy_position,rgb_path,hsi_path,las_path,chm_path,xmin,ymin,xmax,ymax,width,height,class_id,scientific_name,common_name
MLBS00094,MLBS,ACRU,species,17N,deciduousForest,1180.77,single bole tree,Live,29.4,15.5,,,,data/train/RemoteSensing/RGB/MLBS_29.tif,data/train/RemoteSensing/HSI/MLBS_29.tif,data/train/RemoteSensing/LAS/MLBS_29.las,data/train/RemoteSensing/CHM/MLBS_29.tif,130.0,75.0,158.0,107.0,200,200,2.0,Acer rubrum L.,
MLBS00274,MLBS,ACRU,species,17N,deciduousForest,1173.12,single bole tree,Live,29.8,17.4,,,,data/train/RemoteSensing/RGB/MLBS_3.tif,data/train/RemoteSensing/HSI/MLBS_3.tif,data/train/RemoteSensing/LAS/MLBS_3.las,data/train/RemoteSensing/CHM/MLBS_3.tif,59.0,119.0,111.0,165.0,200,200,2.0,Acer rubrum L.,
MLBS00292A,MLBS,ACRU,species,17N,deciduousForest,1178.17,multi-bole tree,Live,31.1,18.4,,,,data/train/RemoteSensing/RGB/MLBS_2.tif,data/train/RemoteSensing/HSI/MLBS_2.tif,data/train/RemoteSensing/LAS/MLBS_2.las,data/train/RemoteSensing/CHM/MLBS_2.tif,4.0,71.0,62.0,156.0,200,200,2.0,Acer rubrum L.,
MLBS00091,MLBS,ACRU,species,17N,deciduousForest,1180.77,single bole tree,Live,17.2,16.1,,,,data/train/RemoteSensing/RGB/MLBS_29.tif,data/train/RemoteSensing/HSI/MLBS_29.tif,data/train/RemoteSensing/LAS/MLBS_29.las,data/train/RemoteSensing/CHM/MLBS_29.tif,142.0,48.0,160.0,72.0,200,200,2.0,Acer rubrum L.,
MLBS00256,MLBS,ACRU,species,17N,deciduousForest,1173.12,single bole tree,Live,17.0,17.2,,,,data/train/RemoteSensing/RGB/MLBS_3.tif,data/train/RemoteSensing/HSI/MLBS_3.tif,data/train/RemoteSensing/LAS/MLBS_3.las,data/train/RemoteSensing/CHM/MLBS_3.tif,41.0,119.0,68.0,154.0,200,200,2.0,Acer rubrum L.,
MLBS00217,MLBS,ACRU,species,17N,deciduousForest,1173.12,single bole tree,Live,34.5,15.7,,,,data/train/RemoteSensing/RGB/MLBS_3.tif,data/train/RemoteSensing/HSI/MLBS_3.tif,data/train/RemoteSensing/LAS/MLBS_3.las,data/train/RemoteSensing/CHM/MLBS_3.tif,176.0,0.0,195.0,36.0,200,200,2.0,Acer rubrum L.,
MLBS00251A,MLBS,ACRU,species,17N,deciduousForest,1173.12,multi-bole tree,Live,20.4,18.6,,,,data/train/RemoteSensing/RGB/MLBS_3.tif,data/train/RemoteSensing/HSI/MLBS_3.tif,data/train/RemoteSensing/LAS/MLBS_3.las,data/train/RemoteSensing/CHM/MLBS_3.tif,28.0,69.0,65.0,110.0,200,200,2.0,Acer rubrum L.,
MLBS00072,MLBS,ACRU,species,17N,deciduousForest,1180.77,single bole tree,"Live, broken bole",12.0,6.2,,,,data/train/RemoteSensing/RGB/MLBS_29.tif,data/train/RemoteSensing/HSI/MLBS_29.tif,data/train/RemoteSensing/LAS/MLBS_29.las,data/train/RemoteSensing/CHM/MLBS_29.tif,173.0,140.0,200.0,160.0,200,200,2.0,Acer rubrum L.,
MLBS00202C,MLBS,ACRU,species,17N,deciduousForest,1173.12,multi-bole tree,Live,11.3,16.1,,,,data/train/RemoteSensing/RGB/MLBS_3.tif,data/train/RemoteSensing/HSI/MLBS_3.tif,data/train/RemoteSensing/LAS/MLBS_3.las,data/train/RemoteSensing/CHM/MLBS_3.tif,77.0,131.0,133.0,191.0,200,200,2.0,Acer rubrum L.,
MLBS00083,MLBS,ACRU,species,17N,deciduousForest,1180.77,single bole tree,Standing dead,21.4,14.5,,,,data/train/RemoteSensing/RGB/MLBS_29.tif,data/train/RemoteSensing/HSI/MLBS_29.tif,data/train/RemoteSensing/LAS/MLBS_29.las,data/train/RemoteSensing/CHM/MLBS_29.tif,2.0,46.0,47.0,84.0,200,200,2.0,Acer rubrum L.,
MLBS00070,MLBS,ACRU,species,17N,deciduousForest,1180.77,multi-bole tree,Live,22.8,16.4,,,,data/train/RemoteSensing/RGB/MLBS_29.tif,data/train/RemoteSensing/HSI/MLBS_29.tif,data/train/RemoteSensing/LAS/MLBS_29.las,data/train/RemoteSensing/CHM/MLBS_29.tif,115.0,106.0,139.0,159.0,200,200,2.0,Acer rubrum L.,
MLBS00067,MLBS,ACRU,species,17N,deciduousForest,1180.77,multi-bole tree,Live,23.2,16.1,,,,data/train/RemoteSensing/RGB/MLBS_29.tif,data/train/RemoteSensing/HSI/MLBS_29.tif,data/train/RemoteSensing/LAS/MLBS_29.las,data/train/RemoteSensing/CHM/MLBS_29.tif,87.0,99.0,116.0,157.0,200,200,2.0,Acer rubrum L.,
MLBS00088,MLBS,ACRU,species,17N,deciduousForest,1180.77,single bole tree,Live,29.0,18.6,,,,data/train/RemoteSensing/RGB/MLBS_29.tif,data/train/RemoteSensing/HSI/MLBS_29.tif,data/train/RemoteSensing/LAS/MLBS_29.las,data/train/RemoteSensing/CHM/MLBS_29.tif,145.0,9.0,197.0,59.0,200,200,2.0,Acer rubrum L.,
MLBS00138A,MLBS,ACRU,species,17N,deciduousForest,1175.1,multi-bole tree,Standing dead,10.5,15.0,,,,data/train/RemoteSensing/RGB/MLBS_26.tif,data/train/RemoteSensing/HSI/MLBS_26.tif,data/train/RemoteSensing/LAS/MLBS_26.las,data/train/RemoteSensing/CHM/MLBS_26.tif,0.0,38.0,44.0,80.0,200,200,2.0,Acer rubrum L.,
MLBS00178A,MLBS,ACRU,species,17N,deciduousForest,1175.1,multi-bole tree,Live,18.3,18.6,,,,data/train/RemoteSensing/RGB/MLBS_25.tif,data/train/RemoteSensing/HSI/MLBS_25.tif,data/train/RemoteSensing/LAS/MLBS_25.las,data/train/RemoteSensing/CHM/MLBS_25.tif,78.0,56.0,135.0,130.0,200,200,2.0,Acer rubrum L.,
MLBS00183,MLBS,ACRU,species,17N,deciduousForest,1175.1,single bole tree,Live,26.7,17.7,,,,data/train/RemoteSensing/RGB/MLBS_25.tif,data/train/RemoteSensing/HSI/MLBS_25.tif,data/train/RemoteSensing/LAS/MLBS_25.las,data/train/RemoteSensing/CHM/MLBS_25.tif,176.0,27.0,200.0,96.0,200,200,2.0,Acer rubrum L.,
MLBS00277,MLBS,ACRU,species,17N,deciduousForest,1173.12,single bole tree,Live,15.0,14.6,,,,data/train/RemoteSensing/RGB/MLBS_3.tif,data/train/RemoteSensing/HSI/MLBS_3.tif,data/train/RemoteSensing/LAS/MLBS_3.las,data/train/RemoteSensing/CHM/MLBS_3.tif,13.0,143.0,52.0,180.0,200,200,2.0,Acer rubrum L.,
MLBS00265,MLBS,ACRU,species,17N,deciduousForest,1173.12,single bole tree,Live,28.6,15.6,,,,data/train/RemoteSensing/RGB/MLBS_3.tif,data/train/RemoteSensing/HSI/MLBS_3.tif,data/train/RemoteSensing/LAS/MLBS_3.las,data/train/RemoteSensing/CHM/MLBS_3.tif,0.0,114.0,12.0,173.0,200,200,2.0,Acer rubrum L.,
MLBS00252,MLBS,ACRU,species,17N,deciduousForest,1173.12,multi-bole tree,Live,16.7,17.1,,,,data/train/RemoteSensing/RGB/MLBS_3.tif,data/train/RemoteSensing/HSI/MLBS_3.tif,data/train/RemoteSensing/LAS/MLBS_3.las,data/train/RemoteSensing/CHM/MLBS_3.tif,0.0,58.0,47.0,141.0,200,200,2.0,Acer rubrum L.,
MLBS00312,MLBS,ACRU,species,17N,deciduousForest,1178.17,multi-bole tree,Live,35.6,19.4,,,,data/train/RemoteSensing/RGB/MLBS_2.tif,data/train/RemoteSensing/HSI/MLBS_2.tif,data/train/RemoteSensing/LAS/MLBS_2.las,data/train/RemoteSensing/CHM/MLBS_2.tif,179.0,71.0,200.0,156.0,200,200,2.0,Acer rubrum L.,
MLBS00556,MLBS,ACRU,species,17N,deciduousForest,1169.01,single bole tree,Standing dead,12.2,9.8,,,,data/train/RemoteSensing/RGB/MLBS_27.tif,data/train/RemoteSensing/HSI/MLBS_27.tif,data/train/RemoteSensing/LAS/MLBS_27.las,data/train/RemoteSensing/CHM/MLBS_27.tif,47.0,37.0,99.0,93.0,200,200,2.0,Acer rubrum L.,
MLBS00473,MLBS,ACRU,species,17N,deciduousForest,1169.65,single bole tree,"Live,  other damage",15.0,7.9,,,,data/train/RemoteSensing/RGB/MLBS_31.tif,data/train/RemoteSensing/HSI/MLBS_31.tif,data/train/RemoteSensing/LAS/MLBS_31.las,data/train/RemoteSensing/CHM/MLBS_31.tif,58.0,59.0,97.0,85.0,200,200,2.0,Acer rubrum L.,
MLBS00462,MLBS,ACRU,species,17N,deciduousForest,1169.65,single bole tree,Live,15.3,15.3,,,,data/train/RemoteSensing/RGB/MLBS_31.tif,data/train/RemoteSensing/HSI/MLBS_31.tif,data/train/RemoteSensing/LAS/MLBS_31.las,data/train/RemoteSensing/CHM/MLBS_31.tif,169.0,54.0,200.0,153.0,200,200,2.0,Acer rubrum L.,
MLBS00505,MLBS,ACRU,species,17N,deciduousForest,1169.65,single bole tree,Live,17.4,16.4,,,,data/train/RemoteSensing/RGB/MLBS_30.tif,data/train/RemoteSensing/HSI/MLBS_30.tif,data/train/RemoteSensing/LAS/MLBS_30.las,data/train/RemoteSensing/CHM/MLBS_30.tif,78.0,46.0,114.0,83.0,200,200,2.0,Acer rubrum L.,
MLBS00578,MLBS,ACRU,species,17N,deciduousForest,1175.83,single bole tree,Live,14.6,14.6,,,,data/train/RemoteSensing/RGB/MLBS_28.tif,data/train/RemoteSensing/HSI/MLBS_28.tif,data/train/RemoteSensing/LAS/MLBS_28.las,data/train/RemoteSensing/CHM/MLBS_28.tif,100.0,112.0,170.0,200.0,200,200,2.0,Acer rubrum L.,
MLBS00427,MLBS,ACRU,species,17N,deciduousForest,1175.68,single bole tree,Live,15.2,13.2,,,,data/train/RemoteSensing/RGB/MLBS_34.tif,data/train/RemoteSensing/HSI/MLBS_34.tif,data/train/RemoteSensing/LAS/MLBS_34.las,data/train/RemoteSensing/CHM/MLBS_34.tif,125.0,191.0,152.0,200.0,200,200,2.0,Acer rubrum L.,
MLBS00401B,MLBS,ACRU,species,17N,deciduousForest,1175.68,multi-bole tree,Live,15.6,17.1,,,,data/train/RemoteSensing/RGB/MLBS_4.tif,data/train/RemoteSensing/HSI/MLBS_4.tif,data/train/RemoteSensing/LAS/MLBS_4.las,data/train/RemoteSensing/CHM/MLBS_4.tif,88.0,158.0,153.0,200.0,200,200,2.0,Acer rubrum L.,
MLBS00404,MLBS,ACRU,species,17N,deciduousForest,1175.68,multi-bole tree,Live,33.1,23.1,,,,data/train/RemoteSensing/RGB/MLBS_34.tif,data/train/RemoteSensing/HSI/MLBS_34.tif,data/train/RemoteSensing/LAS/MLBS_34.las,data/train/RemoteSensing/CHM/MLBS_34.tif,0.0,117.0,44.0,200.0,200,200,2.0,Acer rubrum L.,
MLBS00441,MLBS,ACRU,species,17N,deciduousForest,1175.68,single bole tree,Standing dead,11.8,9.0,,,,data/train/RemoteSensing/RGB/MLBS_34.tif,data/train/RemoteSensing/HSI/MLBS_34.tif,data/train/RemoteSensing/LAS/MLBS_34.las,data/train/RemoteSensing/CHM/MLBS_34.tif,102.0,35.0,134.0,70.0,200,200,2.0,Acer rubrum L.,
MLBS00386,MLBS,ACRU,species,17N,deciduousForest,1175.68,single bole tree,"Live,  other damage",13.5,14.8,,,,data/train/RemoteSensing/RGB/MLBS_4.tif,data/train/RemoteSensing/HSI/MLBS_4.tif,data/train/RemoteSensing/LAS/MLBS_4.las,data/train/RemoteSensing/CHM/MLBS_4.tif,126.0,1.0,179.0,20.0,200,200,2.0,Acer rubrum L.,
MLBS00423,MLBS,ACRU,species,17N,deciduousForest,1175.68,single bole tree,Live,22.4,19.0,,,,data/train/RemoteSensing/RGB/MLBS_34.tif,data/train/RemoteSensing/HSI/MLBS_34.tif,data/train/RemoteSensing/LAS/MLBS_34.las,data/train/RemoteSensing/CHM/MLBS_34.tif,41.0,2.0,83.0,48.0,200,200,2.0,Acer rubrum L.,
MLBS00508,MLBS,ACRU,species,17N,deciduousForest,1169.65,single bole tree,Live,17.5,17.5,,,,data/train/RemoteSensing/RGB/MLBS_30.tif,data/train/RemoteSensing/HSI/MLBS_30.tif,data/train/RemoteSensing/LAS/MLBS_30.las,data/train/RemoteSensing/CHM/MLBS_30.tif,75.0,57.0,115.0,117.0,200,200,2.0,Acer rubrum L.,
MLBS00595,MLBS,ACRU,species,17N,deciduousForest,1175.83,single bole tree,Live,13.0,15.3,,,,data/train/RemoteSensing/RGB/MLBS_28.tif,data/train/RemoteSensing/HSI/MLBS_28.tif,data/train/RemoteSensing/LAS/MLBS_28.las,data/train/RemoteSensing/CHM/MLBS_28.tif,19.0,165.0,63.0,200.0,200,200,2.0,Acer rubrum L.,
MLBS00409,MLBS,ACRU,species,17N,deciduousForest,1175.68,single bole tree,Live,10.6,12.4,,,,data/train/RemoteSensing/RGB/MLBS_34.tif,data/train/RemoteSensing/HSI/MLBS_34.tif,data/train/RemoteSensing/LAS/MLBS_34.las,data/train/RemoteSensing/CHM/MLBS_34.tif,40.0,154.0,70.0,185.0,200,200,2.0,Acer rubrum L.,
MLBS00513,MLBS,ACRU,species,17N,deciduousForest,1169.65,single bole tree,Live,18.7,15.5,,,,data/train/RemoteSensing/RGB/MLBS_30.tif,data/train/RemoteSensing/HSI/MLBS_30.tif,data/train/RemoteSensing/LAS/MLBS_30.las,data/train/RemoteSensing/CHM/MLBS_30.tif,32.0,28.0,57.0,68.0,200,200,2.0,Acer rubrum L.,
MLBS00419,MLBS,ACRU,species,17N,deciduousForest,1175.68,single bole tree,Live,10.1,11.4,,,,data/train/RemoteSensing/RGB/MLBS_34.tif,data/train/RemoteSensing/HSI/MLBS_34.tif,data/train/RemoteSensing/LAS/MLBS_34.las,data/train/RemoteSensing/CHM/MLBS_34.tif,14.0,86.0,30.0,108.0,200,200,2.0,Acer rubrum L.,
MLBS00363,MLBS,ACRU,species,17N,deciduousForest,1175.68,single bole tree,Live,19.9,18.9,,,,data/train/RemoteSensing/RGB/MLBS_4.tif,data/train/RemoteSensing/HSI/MLBS_4.tif,data/train/RemoteSensing/LAS/MLBS_4.las,data/train/RemoteSensing/CHM/MLBS_4.tif,67.0,14.0,124.0,69.0,200,200,2.0,Acer rubrum L.,
MLBS00558,MLBS,ACRU,species,17N,deciduousForest,1169.01,single bole tree,Live,24.9,16.3,,,,data/train/RemoteSensing/RGB/MLBS_27.tif,data/train/RemoteSensing/HSI/MLBS_27.tif,data/train/RemoteSensing/LAS/MLBS_27.las,data/train/RemoteSensing/CHM/MLBS_27.tif,168.0,48.0,200.0,109.0,200,200,2.0,Acer rubrum L.,
MLBS00471,MLBS,ACRU,species,17N,deciduousForest,1169.65,single bole tree,Live,36.1,23.0,,,,data/train/RemoteSensing/RGB/MLBS_31.tif,data/train/RemoteSensing/HSI/MLBS_31.tif,data/train/RemoteSensing/LAS/MLBS_31.las,data/train/RemoteSensing/CHM/MLBS_31.tif,117.0,49.0,169.0,118.0,200,200,2.0,Acer rubrum L.,
MLBS00511,MLBS,ACRU,species,17N,deciduousForest,1169.65,single bole tree,Live,59.9,21.3,,,,data/train/RemoteSensing/RGB/MLBS_30.tif,data/train/RemoteSensing/HSI/MLBS_30.tif,data/train/RemoteSensing/LAS/MLBS_30.las,data/train/RemoteSensing/CHM/MLBS_30.tif,4.0,32.0,32.0,83.0,200,200,2.0,Acer rubrum L.,
MLBS00560,MLBS,ACRU,species,17N,deciduousForest,1169.01,single bole tree,Live,41.8,17.1,,,,data/train/RemoteSensing/RGB/MLBS_27.tif,data/train/RemoteSensing/HSI/MLBS_27.tif,data/train/RemoteSensing/LAS/MLBS_27.las,data/train/RemoteSensing/CHM/MLBS_27.tif,133.0,132.0,200.0,200.0,200,200,2.0,Acer rubrum L.,
MLBS00444,MLBS,ACRU,species,17N,deciduousForest,1175.68,single bole tree,Live,29.1,19.9,,,,data/train/RemoteSensing/RGB/MLBS_34.tif,data/train/RemoteSensing/HSI/MLBS_34.tif,data/train/RemoteSensing/LAS/MLBS_34.las,data/train/RemoteSensing/CHM/MLBS_34.tif,81.0,13.0,99.0,43.0,200,200,2.0,Acer rubrum L.,
MLBS00661,MLBS,ACRU,species,17N,deciduousForest,1170.24,single bole tree,Live,14.2,19.0,,,,data/train/RemoteSensing/RGB/MLBS_39.tif,data/train/RemoteSensing/HSI/MLBS_39.tif,data/train/RemoteSensing/LAS/MLBS_39.las,data/train/RemoteSensing/CHM/MLBS_39.tif,113.0,121.0,158.0,167.0,200,200,2.0,Acer rubrum L.,
MLBS00653C,MLBS,ACRU,species,17N,deciduousForest,1170.24,multi-bole tree,Live,12.9,18.1,,,,data/train/RemoteSensing/RGB/MLBS_39.tif,data/train/RemoteSensing/HSI/MLBS_39.tif,data/train/RemoteSensing/LAS/MLBS_39.las,data/train/RemoteSensing/CHM/MLBS_39.tif,15.0,30.0,61.0,75.0,200,200,2.0,Acer rubrum L.,
MLBS00652,MLBS,ACRU,species,17N,deciduousForest,1170.24,multi-bole tree,Live,39.1,20.8,,,,data/train/RemoteSensing/RGB/MLBS_39.tif,data/train/RemoteSensing/HSI/MLBS_39.tif,data/train/RemoteSensing/LAS/MLBS_39.las,data/train/RemoteSensing/CHM/MLBS_39.tif,44.0,52.0,123.0,144.0,200,200,2.0,Acer rubrum L.,
MLBS00645,MLBS,ACRU,species,17N,deciduousForest,1170.24,single bole tree,Live,25.2,19.2,,,,data/train/RemoteSensing/RGB/MLBS_40.tif,data/train/RemoteSensing/HSI/MLBS_40.tif,data/train/RemoteSensing/LAS/MLBS_40.las,data/train/RemoteSensing/CHM/MLBS_40.tif,123.0,140.0,196.0,193.0,200,200,2.0,Acer rubrum L.,
MLBS00644A,MLBS,ACRU,species,17N,deciduousForest,1170.24,multi-bole tree,Live,39.8,21.5,,,,data/train/RemoteSensing/RGB/MLBS_40.tif,data/train/RemoteSensing/HSI/MLBS_40.tif,data/train/RemoteSensing/LAS/MLBS_40.las,data/train/RemoteSensing/CHM/MLBS_40.tif,94.0,101.0,158.0,161.0,200,200,2.0,Acer rubrum L.,
MLBS00658,MLBS,ACRU,species,17N,deciduousForest,1170.24,single bole tree,Live,38.6,20.0,,,,data/train/RemoteSensing/RGB/MLBS_39.tif,data/train/RemoteSensing/HSI/MLBS_39.tif,data/train/RemoteSensing/LAS/MLBS_39.las,data/train/RemoteSensing/CHM/MLBS_39.tif,70.0,146.0,146.0,197.0,200,200,2.0,Acer rubrum L.,
MLBS00726,MLBS,ACRU,species,17N,deciduousForest,1173.13,single bole tree,Live,24.5,16.5,,,,data/train/RemoteSensing/RGB/MLBS_6.tif,data/train/RemoteSensing/HSI/MLBS_6.tif,data/train/RemoteSensing/LAS/MLBS_6.las,data/train/RemoteSensing/CHM/MLBS_6.tif,117.0,153.0,175.0,197.0,200,200,2.0,Acer rubrum L.,
MLBS00733A,MLBS,ACRU,species,17N,deciduousForest,1173.13,multi-bole tree,Live,40.5,20.0,,,,data/train/RemoteSensing/RGB/MLBS_6.tif,data/train/RemoteSensing/HSI/MLBS_6.tif,data/train/RemoteSensing/LAS/MLBS_6.las,data/train/RemoteSensing/CHM/MLBS_6.tif,83.0,64.0,142.0,142.0,200,200,2.0,Acer rubrum L.,
MLBS00729C,MLBS,ACRU,species,17N,deciduousForest,1173.13,multi-bole tree,Live,30.9,20.8,,,,data/train/RemoteSensing/RGB/MLBS_6.tif,data/train/RemoteSensing/HSI/MLBS_6.tif,data/train/RemoteSensing/LAS/MLBS_6.las,data/train/RemoteSensing/CHM/MLBS_6.tif,167.0,162.0,200.0,197.0,200,200,2.0,Acer rubrum L.,
MLBS00749,MLBS,ACRU,species,17N,deciduousForest,1173.13,single bole tree,Live,20.8,13.6,,,,data/train/RemoteSensing/RGB/MLBS_6.tif,data/train/RemoteSensing/HSI/MLBS_6.tif,data/train/RemoteSensing/LAS/MLBS_6.las,data/train/RemoteSensing/CHM/MLBS_6.tif,87.0,11.0,125.0,65.0,200,200,2.0,Acer rubrum L.,
MLBS00757,MLBS,ACRU,species,17N,deciduousForest,1173.13,single bole tree,Standing dead,20.1,14.5,,,,data/train/RemoteSensing/RGB/MLBS_6.tif,data/train/RemoteSensing/HSI/MLBS_6.tif,data/train/RemoteSensing/LAS/MLBS_6.las,data/train/RemoteSensing/CHM/MLBS_6.tif,160.0,67.0,200.0,131.0,200,200,2.0,Acer rubrum L.,
MLBS00754,MLBS,ACRU,species,17N,deciduousForest,1173.13,single bole tree,Live,29.1,18.5,,,,data/train/RemoteSensing/RGB/MLBS_6.tif,data/train/RemoteSensing/HSI/MLBS_6.tif,data/train/RemoteSensing/LAS/MLBS_6.las,data/train/RemoteSensing/CHM/MLBS_6.tif,157.0,16.0,193.0,90.0,200,200,2.0,Acer rubrum L.,
MLBS00791,MLBS,ACRU,species,17N,deciduousForest,1172.84,single bole tree,Live,13.6,10.6,,,,data/train/RemoteSensing/RGB/MLBS_35.tif,data/train/RemoteSensing/HSI/MLBS_35.tif,data/train/RemoteSensing/LAS/MLBS_35.las,data/train/RemoteSensing/CHM/MLBS_35.tif,76.0,108.0,127.0,133.0,200,200,2.0,Acer rubrum L.,
MLBS01110,MLBS,ACRU,species,17N,deciduousForest,1174.15,single bole tree,Live,16.8,11.3,,,,data/train/RemoteSensing/RGB/MLBS_33.tif,data/train/RemoteSensing/HSI/MLBS_33.tif,data/train/RemoteSensing/LAS/MLBS_33.las,data/train/RemoteSensing/CHM/MLBS_33.tif,165.0,126.0,195.0,160.0,200,200,2.0,Acer rubrum L.,
MLBS00834,MLBS,ACRU,species,17N,deciduousForest,1172.84,single bole tree,"Live, disease damaged",17.2,10.2,,,,data/train/RemoteSensing/RGB/MLBS_36.tif,data/train/RemoteSensing/HSI/MLBS_36.tif,data/train/RemoteSensing/LAS/MLBS_36.las,data/train/RemoteSensing/CHM/MLBS_36.tif,20.0,0.0,66.0,31.0,200,200,2.0,Acer rubrum L.,
MLBS00662,MLBS,ACRU,species,17N,deciduousForest,1170.24,single bole tree,Live,30.3,19.7,,,,data/train/RemoteSensing/RGB/MLBS_39.tif,data/train/RemoteSensing/HSI/MLBS_39.tif,data/train/RemoteSensing/LAS/MLBS_39.las,data/train/RemoteSensing/CHM/MLBS_39.tif,149.0,126.0,195.0,179.0,200,200,2.0,Acer rubrum L.,
MLBS00725,MLBS,ACRU,species,17N,deciduousForest,1173.13,single bole tree,Live,20.2,16.8,,,,data/train/RemoteSensing/RGB/MLBS_5.tif,data/train/RemoteSensing/HSI/MLBS_5.tif,data/train/RemoteSensing/LAS/MLBS_5.las,data/train/RemoteSensing/CHM/MLBS_5.tif,127.0,24.0,198.0,92.0,200,200,2.0,Acer rubrum L.,
MLBS01117,MLBS,ACRU,species,17N,deciduousForest,1174.15,single bole tree,Live,22.1,18.5,,,,data/train/RemoteSensing/RGB/MLBS_33.tif,data/train/RemoteSensing/HSI/MLBS_33.tif,data/train/RemoteSensing/LAS/MLBS_33.las,data/train/RemoteSensing/CHM/MLBS_33.tif,0.0,4.0,28.0,67.0,200,200,2.0,Acer rubrum L.,
